English;Spanish;German;Japanese;Chinese (Simplified);Chinese (Traditional);Korean;Portuguese;French;Italian;Dutch;Swedish;Norwegian;Danish;Hindi;Urdu;Russian;Arabic;Category
Thank you.;Gracias.;Danke schön.;ありがとう。;谢谢。;謝謝。;감사합니다.;Obrigado.;Merci.;Grazie.;Bedankt.;Tack.;Takk skal du ha.;Tak skal du have.;धन्यवाद।;شکریہ;Спасибо.;شكرًا لك.;Everyday Lingo
Thank you miss.;Gracias señorita.;Danke, Fräulein.;ありがとうございます。;谢谢小姐。;謝謝小姐。;감사합니다.;Obrigado senhorita.;Merci mademoiselle.;Grazie signorina.;Dank U wel, mevrouw.;Tack fröken.;Takk frøken.;Tak frøken.;धन्यवाद कुमारी।;شکریہ محترمہ.;Спасибо, мисс.;شكرا انسة.;Everyday Lingo
Thank you sir.;Gracias Señor.;Danke mein Herr.;ありがとうございます。;谢谢你，先生。;謝謝你，先生。;감사합니다.;Obrigado senhor.;Merci Monsieur.;Grazie Signore.;Dank u meneer.;Tack så mycket herrn.;Takk, min Herre.;Tak hr.;धन्यवाद महोदय।;شکریہ صاحب.;Спасибо, сэр.;شكرا لك سيدي.;Everyday Lingo
Thank you very much.;Muchas gracias.;Vielen Dank.;どうもありがとうございます。;非常感谢。;非常感謝。;매우 감사합니다.;Muito obrigado.;Merci beaucoup.;Grazie mille.;Hartelijk dank.;Tack så mycket.;Tusen takk.;Mange tak.;आपका बहुत-बहुत धन्यवाद।;بہت بہت شکریہ.;Большое спасибо.;شكراً جزيلاً.;Everyday Lingo
That looks great.;Eso se ve genial.;Das sieht gut aus.;それは素晴らしいですね。;看起来不错。;看起來不錯。;멋지네요.;Isso parece ótimo.;Ça a l'air génial.;Sembra fantastico.;Dat ziet er goed uit.;Det ser bra ut.;Det ser flott ut.;Det ser godt ud.;उसका दिखना बहुत ही बढ़िया है।;یہ بہت اچھا لگتا ہے۔;Это выглядит великолепно.;هذا يبدو عظيما.;Everyday Lingo
That's alright.;Eso está bien.;Das ist in Ordnung.;それは大丈夫だ。;没关系。;沒關係。;그 괜찮아요.;Tudo bem.;C'est bon.;Va bene.;Dat is goed.;Det är okej.;Det er greit.;Det er i orden.;वह ठीक है।;یہ ٹھیک ہے۔;Все в порядке.;لا بأس.;Everyday Lingo
That's enough.;Eso es suficiente.;Das ist genug.;もういい。;够了。;夠了。;충분 해.;É o bastante.;C'est assez.;È abbastanza.;Dat is genoeg.;Det räcker.;Det er nok.;Det er nok.;बस काफी है।;یہ کافی ہے.;Достаточно.;هذا يكفي.;Everyday Lingo
That's fine.;Está bien.;Das ist in Ordnung.;それはいいです。;没关系。;沒關係。;괜찮아.;Isso é bom.;C'est très bien.;Va bene.;Dat is prima.;Det är okej.;Det er greit.;Det er fint.;वह ठीक है।;ٹھیک ہے.;Это нормально.;هذا جيّد.;Everyday Lingo
That's it.;Eso es todo.;Das ist es.;それでおしまい。;就是这样。;就是這樣。;그게 다야.;É isso.;C'est ça.;Questo è tutto.;Dat is het.;Det är allt.;Det er det.;Det er det.;इतना ही।;یہی ہے.;Вот и все.;هذا كل شيء.;Everyday Lingo
That smells bad.;Eso huele mal.;Das riecht schlecht.;それは悪臭です。;那闻起来很糟糕。;那聞起來很糟糕。;냄새가 나네요.;Isso cheira mal.;Ça sent mauvais.;Ha un cattivo odore.;Dat stinkt.;Det luktar illa.;Det lukter vondt.;Det lugter dårligt.;इससे बदबू आती है।;اس سے بدبو آتی ہے۔;Это плохо пахнет.;تلك الرائحة الكريهة.;Everyday Lingo
That's not fair.;No es justo.;Das ist nicht fair.;不公平だ。;这不公平。;這不公平。;그건 부당합니다.;Isso não é justo.;Ce n'est pas juste.;Non è giusto.;Dat is niet eerlijk.;Det är inte rättvist.;Det er ikke rettferdig.;Det er ikke fair.;यह सही नहीं है।;یہ درست نہیں ہے.;Это не справедливо.;هذا ليس عدلا.;Everyday Lingo
That's not right.;Eso no está bien.;Das ist nicht richtig.;それは正しくありません。;那是不对的。;那是不對的。;그건 맞지 않습니다.;Isso não está certo.;Ce n'est pas juste.;Non è giusto.;Dat klopt niet.;Det är inte rätt.;Det er ikke riktig.;Det er ikke rigtigt.;यह सही नहीं है।;یہ ٹھیک نہیں ہے.;Это не правильно.;هذا غير صحيح.;Everyday Lingo
That's right.;Así es.;Das ist richtig.;それは正しい。;这是正确的。;這是正確的。;좋아요.;Isso mesmo.;C'est exact.;Giusto.;Dat is juist.;Det är rätt.;Det er riktig.;Det er rigtigt.;यह सही है।;یہ ٹھیک ہے.;Это верно.;صحيح.;Everyday Lingo
That's too bad.;Eso es muy malo.;Das ist sehr schade.;それは残念です。;这太糟糕了。;這太糟糕了。;유감 이네요.;Isso é ruim.;C'est dommage.;Peccato.;Dat is jammer.;Det är för dåligt.;Det var synd.;Det er ærgeligt.;यह बहुत बुरा है।;یہ بہت برا ہے.;Это очень плохо.;هذا سيء جدا.;Everyday Lingo
That's too many.;Eso es mucho.;Das ist zu viel.;多すぎる。;那太多了。;那太多了。;너무 많습니다.;Isso é demais.;C'est trop.;Questo è troppo.;Dat is te veel.;Det är för många.;Det er for mange.;Det er for mange.;यह बहुत सारे है।;یہ بہت زیادہ ہے۔;Это слишком много.;هذا كثير جدا.;Everyday Lingo
That's too much.;Eso es demasiado.;Das ist zu viel.;それは多すぎる。;这太多了。;這太多了。;그건 너무 많아.;Isso é demais.;C'est trop.;È troppo.;Dat is te veel.;Det är för mycket.;Det er for mye.;Det er for meget.;कि बहुत ज्यादा है।;کہ بہت زیادہ ہے.;Это слишком много.;هذا كثير جدا.;Everyday Lingo
The book is under the table.;El libro está debajo de la mesa.;Das Buch ist unter dem Tisch.;本はテーブルの下にあります。;书在桌子底下。;書在桌子底下。;책이 테이블 아래에 있습니다.;O livro está embaixo da mesa.;Le livre est sous la table.;Il libro è sotto il tavolo.;Het boek ligt onder de tafel.;Boken ligger under bordet.;Boken ligger under bordet.;Bogen ligger under bordet.;किताब मेज के नीचे है।;کتاب میز کے نیچے ہے۔;Книга лежит под столом.;هذا الكتاب هو تحت الطاولة.;Everyday Lingo
They'll be right back.;Volverán enseguida.;Sie sind gleich wieder da.;彼らはすぐに戻ってきます。;他们马上回来。;他們馬上回來。;곧 돌아올 겁니다.;Eles estarão de volta.;Ils reviendront tout de suite.;Torneranno subito.;Ze zijn zo terug.;De kommer genast tillbaka.;De kommer straks tilbake.;De kommer straks tilbage.;वे अभी वापस आएंगे।;وہ ابھی واپس آئیں گے۔;Они скоро вернутся.;سوف يعودون حالاً.;Everyday Lingo
They're the same.;Son los mismos.;Sie sind gleich.;彼らは同じです。;他们是一样的。;他們是一樣的。;그들은 동일합니다.;Eles são os mesmos.;Ce sont les mêmes.;Sono gli stessi.;Ze zijn hetzelfde.;De är likadana.;De er like.;De er ens.;वे वही हैं।;وہ ایک جیسے ہیں۔;Они такие же.;هم نفس الشيء.;Everyday Lingo
They're very busy.;Están muy ocupados.;Sie sind sehr beschäftigt.;彼らはとても忙しいです。;他们很忙。;他們很忙。;그들은 매우 바쁩니다.;Eles estão muito ocupados.;Ils sont très occupés.;Sono molto occupati.;Ze hebben het erg druk.;De är väldigt upptagna.;De er veldig opptatt.;De har meget travlt.;वे बहुत व्यस्त हैं।;وہ بہت مصروف ہیں۔;Они очень заняты.;إنهم مشغولون للغاية.;Everyday Lingo
This doesn't work.;esto no funciona;Das funktioniert nicht.;これはうまくいきません。;这是行不通的。;這是行不通的。;작동하지 않습니다.;Isso não funciona.;Cela ne fonctionne pas.;Questo non funziona.;Dit werkt niet.;Det här fungerar inte.;Dette fungerer ikke.;Det her virker ikke.;यह काम नहीं करता।;یہ کام نہیں کرتا۔;Это не работает.;هذا لا يعمل.;Everyday Lingo
This is very difficult.;Esto es muy difícil.;Das ist sehr schwierig.;これは非常に困難です。;这是非常困难的。;這是非常困難的。;이것은 매우 어렵습니다.;Isto é muito difícil.;C'est très difficile.;Questo è molto difficile.;Dit is erg moeilijk.;Det här är väldigt svårt.;Dette er veldig vanskelig.;Det er meget svært.;यह बहुत मुश्किल है।;یہ بہت مشکل ہے۔;Это очень сложно.;هذا أمر صعب جدا.;Everyday Lingo
This is very important.;Esto es muy importante.;Dies ist sehr wichtig.;これはとても重要です。;这个非常重要。;這個非常重要。;이건 매우 중요합니다.;Isto é muito importante.;C'est très important.;Questo è molto importante.;Dit is erg belangrijk.;Det här är väldigt viktigt.;Dette er veldig viktig.;Dette er meget vigtigt.;यह बहुत महत्वपूर्ण है।;یہ بہت اہم ہے.;Это очень важно.;هذا مهم جدا.;Everyday Lingo
Try it.;Intentalo.;Versuch es.;それを試してみてください。;尝试一下。;嘗試一下。;시도 해봐.;Tente.;Essayez-le.;Provalo.;Probeer het.;Försök.;Prøv det.;Prøv det.;इसे अजमाएं।;کوشش کرو.;Попробуй это.;جربها.;Everyday Lingo
Very good, thanks.;Muy bueno gracias.;Sehr gut, danke.;とても良いです、ありがとう。;非常好谢谢。;非常好謝謝。;아주 좋아 고마워.;Muito bom, obrigado.;Très bien, merci.;Molto bene, grazie.;Heel goed dankje.;Väldigt bra tack.;Veldig bra takk.;Meget godt tak.;बहुत अच्छा धन्यवाद।;بہت اچھا، شکریہ۔;Очень хорошо, спасибо.;جيد جدا، شكرا.;Everyday Lingo
We like it very much.;Nos gusta mucho.;Wir mögen es sehr.;とても気に入っています。;我们非常喜欢它。;我們非常喜歡它。;우리는 그것을 아주 좋아합니다.;Nós gostamos muito.;Nous l'aimons beaucoup.;Ci piace molto.;We vinden het erg leuk.;Vi gillar det väldigt mycket.;Vi liker det veldig godt.;Vi kan rigtig godt lide det.;हमें यह बहुत पसंद है।;ہمیں یہ بہت پسند ہے۔;Нам это очень нравится.;نحن أحب ذلك كثيرا جدا.;Everyday Lingo
Would you take a message please?;¿Podría tomar un mensaje, por favor?;Würden Sie bitte eine Nachricht entgegennehmen?;メッセージをお願いできますか？;请您留言好吗？;請您留言好嗎？;메시지를 받아 주시겠습니까?;Você poderia anotar uma mensagem, por favor?;Accepteriez-vous un message s'il vous plait ?;Vuoi prendere un messaggio per favore?;Wilt u alstublieft een bericht opnemen?;Vill du ta ett meddelande?;Vil du ta en melding?;Vil du venligst tage en besked?;क्या आप कृपया एक संदेश लेंगे?;کیا آپ براہ کرم کوئی پیغام لیں گے؟;Не могли бы вы принять сообщение, пожалуйста?;هل لك أن تأخذ رسالة من فضلك؟;Everyday Lingo
Yes, really.;Sí, en serio.;Ja wirklich.;はい、そうです。;对真的。;對真的。;네 진짜로 요.;Sim com certeza.;Oui vraiment.;Sì davvero.;Ja echt.;Ja verkligen.;Ja virkelig.;Ja virkelig.;हाँ सच।;ہاں، واقعی۔;Да, действительно.;نعم حقا.;Everyday Lingo
You're beautiful.;Eres hermosa.;Du bist wunderschön.;あなたは美しいです。;你非常美。;你非常美。;당신은 아름답습니다.;Você é linda.;Tu es belle.;Sei bello.;Je bent mooi.;Du är vacker.;Du er vakker.;Du er smuk.;आप खूबसूरत हैं।;تم خوبصورت ہو.;Ты прекрасна.;أنت جميلة.;Everyday Lingo
You're very nice.;Es usted muy agradable.;Sie sind sehr nett.;あなたはとても優しい。;您非常友善。;您非常友善。;넌 정말 멋져.;Você é muito atencioso.;Vous êtes très gentil.;Lei è molto cortese.;Je bent erg aardig.;Du är väldigt trevlig.;Du er veldig snill.;Du er meget flink.;आप बहुत अच्छा कर रहे हैं.;تم بہت اچھے ہو.;Вы очень милы.;أنت لطيف جدا.;Everyday Lingo
You're very smart.;Eres muy inteligente.;Du bist sehr schlau.;あなたはとても賢いです。;你很聪明。;你很聰明。;당신은 매우 똑똑합니다.;Você é muito inteligente.;Vous êtes très intelligent.;Sei molto intelligente.;Je bent erg slim.;Du är väldigt smart.;Du er veldig smart.;Du er meget klog.;आप बहुत स्मार्ट हैं।;تم بہت ہوشیار ہو۔;Ты очень умный.;انت ذكي جدا.;Everyday Lingo
Your things are all here.;Tus cosas están todas aquí.;Ihre Sachen sind alle hier.;あなたのものはすべてここにあります。;你的东西都在这里。;你的東西都在這裡。;당신의 모든 것이 여기에 있습니다.;Suas coisas estão todas aqui.;Vos affaires sont toutes ici.;Le tue cose sono tutte qui.;Je spullen zijn er allemaal.;Alla dina saker är här.;Alle tingene dine er her.;Dine ting er her allesammen.;आपकी चीजें यहां हैं।;آپ کی ساری چیزیں یہاں ہیں۔;Все твои вещи здесь.;كل الأشياء الخاصة بك هنا.;Everyday Lingo
Certainly!;¡Ciertamente!;Sicherlich!;そうです！;当然！;當然！;틀림없이!;Certamente!;Certainement!;Certamente!;Zeker!;Säkert!;Sikkert!;Sikkert!;निश्चित रूप से!;بے شک!;Конечно!;بالتأكيد!;Hello & Goodbye
Good afternoon.;Buenas tardes.;Guten Tag.;こんにちは。;下午好。;下午好。;좋은 오후에요.;Boa tarde.;Bon après-midi.;Buon pomeriggio.;Goedemiddag.;God eftermiddag.;God ettermiddag.;God eftermiddag.;नमस्कार।;صبح بخیر;Добрый день.;مساء الخير.;Hello & Goodbye
Good evening sir.;Buenas noches señor.;Guten Abend, mein Herr.;こんばんは先生。;晚上好，先生。;晚上好，先生。;좋은 밤입니다.;Boa noite senhor.;Bonsoir Monsieur.;Buona sera signore.;Goedenavond heer.;God kväll herrn.;God kveld min herre.;God aften hr.;शुभ संध्या श्रीमान।;شام بخیر جناب.;Добрый вечер сэр.;مساء الخير سيدي.;Hello & Goodbye
Good Luck.;Buena suerte.;Viel Glück.;幸運を。;祝你好运。;祝你好運。;행운을 빌어요.;Boa sorte.;Bonne chance.;Buona fortuna.;Succes.;Lycka till.;Lykke til.;Held og lykke.;आपको कामयाबी मिले।;اچھی قسمت.;Удачи.;حظ سعيد.;Hello & Goodbye
Good morning.;Buen día.;Guten Morgen.;おはよう。;早上好。;早上好。;좋은 아침이에요.;Bom dia.;Bonjour.;Buongiorno.;Goedemorgen.;God morgon.;God morgen.;God morgen.;शुभ प्रभात।;صبح بخیر.;Доброе утро.;صباح الخير.;Hello & Goodbye
Great.;Excelente.;Großartig.;素晴らしい。;伟大的。;偉大的。;엄청난.;Ótimo.;Super.;Grande.;Geweldig.;Bra.;Flott.;Store.;महान।;زبردست.;Большой.;عظيم.;Hello & Goodbye
Happy Birthday.;Feliz cumpleaños.;Alles Gute zum Geburtstag.;お誕生日おめでとう。;生日快乐。;生日快樂。;생일 축하해요.;Feliz aniversário.;Joyeux anniversaire.;Buon compleanno.;Gefeliciteerd.;Grattis på födelsedagen.;Gratulerer med dagen.;Tillykke med fødselsdagen.;जन्मदिन की शुभकामनाएँ।;سالگرہ مبارک.;С днем ​​рождения.;عيد ميلاد سعيد.;Hello & Goodbye
Have a good trip.;Ten un buen viaje.;Gute Reise.;よい旅を。;旅行愉快。;旅行愉快。;좋은 여행 되세요.;Tenha uma boa viagem.;Bon voyage.;Fai un buon viaggio.;Goede reis.;Ha en trevlig resa.;Ha en god tur.;Hav en god tur.;यात्रा शुभ हो।;آپ کا سفر اچھا گزرے۔;Удачной поездки.;احظى برحلة جيدة.;Hello & Goodbye
Hello.;Hola.;Hallo.;こんにちは。;你好。;你好。;안녕하세요.;Olá.;Bonjour.;Ciao.;Hallo.;Hallå.;Hallo.;Hej.;नमस्ते।;ہیلو.;Привет.;مرحبًا.;Hello & Goodbye
Nice to meet you;Encantado de conocerlo;Freut mich, Sie kennenzulernen;お会いできて嬉しいです;很高兴见到你;很高興見到你;만나서 반가워요;Prazer em conhecê-lo;Ravi de vous rencontrer;Piacere di conoscerti;Aangenaam;Trevligt att träffas;Hyggelig å møte deg;Dejligt at møde dig;आपसे मिलकर अच्छा लगा;آپ سے مل کر خوشی ہوئی;Рад встрече;سعيد بلقائك;Hello & Goodbye
Please call me.;Por favor, llámame.;Bitte ruf mich an.;私に電話してください。;请给我打电话。;請給我打電話。;전화주세요.;Por favor me ligue.;S'il te plait appelle moi.;Per favore chiamami.;Bel me alsjeblieft.;Snälla ring mig.;Vennligst ring meg.;Vær sød at ringe til mig.;कृपया मुझे कॉल करें।;براہ مہربانی مجھے فون.;Пожалуйста, позвони мне.;اتصل بي من فضلك.;Hello & Goodbye
About 300 kilometers.;Unos 300 kilómetros.;Etwa 300 Kilometer.;約300キロ。;约300公里。;約300公里。;약 300km.;Cerca de 300 quilômetros.;Environ 300 kilomètres.;Circa 300 chilometri.;Ongeveer 300 kilometer.;Cirka 300 kilometer.;Ca 300 kilometer.;Cirka 300 kilometer.;करीब 300 किमी.;تقریباً 300 کلومیٹر۔;Около 300 километров.;حوالي 300 كيلومتر.;Wanderlust & Finding Your Way
A one way ticket.;Un billete de ida.;Ein Einweg-Ticket.;片道切符。;单程票。;單程票。;편도표 주세요.;Um bilhete de ida.;Un aller-simple.;Un biglietto di sola andata.;Een enkeltje.;En enkelbiljett.;En enveisbillett.;En enkeltbillet.;एक - तरफा टिकट।;ایک ایک طرفہ ٹکٹ.;Билет в один конец.;تذكرة ذهاب.;Wanderlust & Finding Your Way
Are you going to help her?;¿Vas a ayudarla?;Wirst du ihr helfen?;彼女を助けるつもりですか？;你要帮她吗？;你要幫她嗎？;그녀를 도울 건가요?;Você vai ajudá-la?;Allez-vous l'aider ?;La aiuterai?;Ga jij haar helpen?;Ska du hjälpa henne?;Skal du hjelpe henne?;Vil du hjælpe hende?;क्या आप उसकी मदद करने जा रहे हैं?;کیا تم اس کی مدد کرنے جا رہے ہو؟;Ты собираешься ей помочь?;هل ستساعدها؟;Wanderlust & Finding Your Way
A round trip ticket.;Un billete de ida y vuelta.;Eine Hin- und Rückfahrkarte.;往復切符。;往返票。;往返票。;왕복표 주세요.;Um bilhete de ida e volta.;Un billet aller-retour.;Un biglietto di andata e ritorno.;Een retourtje.;En tur-och-retur-biljett.;En tur-retur-billett.;En returbillet.;दो तरफ़ का टिकट।;ایک دو طرفہ ٹکٹ.;Билет туда и обратно.;تذكرة ذهاب وعودة.;Wanderlust & Finding Your Way
At what time?;¿A qué hora?;Zu welcher Zeit?;何時に？;在什么时候？;在什麼時候？;몇시에?;Em que momento?;À quelle heure?;A che ora?;Wanneer?;Vilken tid?;Når?;Hvad tid?;कितने बजे?;کس وقت؟;Во сколько?;في أي وقت؟;Wanderlust & Finding Your Way
Can I make an appointment for next Wednesday?;¿Puedo hacer una cita para el próximo miércoles?;Kann ich für nächsten Mittwoch einen Termin vereinbaren?;来週の水曜日に予約できますか？;我可以预约下周三吗？;我可以預約下週三嗎？;다음주 수요일에 약속을 잡을 수 있습니까?;Posso marcar para a próxima quarta-feira?;Puis-je prendre rendez-vous pour mercredi prochain ?;Posso fissare un appuntamento per mercoledì prossimo?;Kan ik een afspraak maken voor aanstaande woensdag?;Kan jag boka tid nästa onsdag?;Kan jeg bestille time neste onsdag?;Kan jeg bestille tid til næste onsdag?;क्या मैं अगले बुधवार के लिए अपॉइंटमेंट ले सकता हूं?;کیا میں اگلے بدھ کے لیے ملاقات کا وقت بنا سکتا ہوں؟;Могу я записаться на следующую среду?;هل يمكنني تحديد موعد ليوم الأربعاء القادم؟;Wanderlust & Finding Your Way
Can you repeat that please?;¿Puede repetir eso por favor?;Kannst du das bitte wiederholen?;もう一度お願いできますか？;请你再说一遍？;請你再說一遍？;당신은 제발 반복 할 수 있습니다?;Você pode repetir por favor?;Pouvez-vous répéter ça, s'il vous plaît?;Puoi ripetere per favore?;Kunt u dat alstublieft herhalen?;Kan du upprepa det där, tack?;Kan du gjenta det?;Kan du gentage det, tak?;क्या आप इसे दौहरा सकते हैं?;کیا آپ یہ دھرا سکتے ہیں؟;Можешь повторить, пожалуйста?;أعد ذلك من فضلك؟;Wanderlust & Finding Your Way
Does this road go to New York?;¿Este camino va a Nueva York?;Führt diese Straße nach New York?;この道はニューヨークに通じていますか？;这条路通往纽约吗？;這條路通往紐約嗎？;이 길은 뉴욕으로 가나요?;Essa estrada vai para Nova York?;Est-ce que cette route va à New York ?;Questa strada va a New York?;Gaat deze weg naar New York?;Går den här vägen till New York?;Går denne veien til New York?;Går denne vej til New York?;क्या यह सड़क न्यूयॉर्क को जाती है?;کیا یہ سڑک نیویارک کو جاتی ہے؟;Эта дорога ведет в Нью-Йорк?;هل هذا الطريق يذهب إلى نيويورك؟;Wanderlust & Finding Your Way
Do you have enough money?;¿Tienes suficiente dinero?;Hast du genug Geld?;あなたは十分にお金を持っていますか？;你有足够的钱吗？;你有足夠的錢嗎？;돈이 충분합니까?;Tens dinheiro suficiente?;As-tu assez d'argent?;Hai abbastanza soldi?;Heb je genoeg geld?;Har du tillräckligt med pengar?;Har du nok penger?;Har du penge nok?;क्या तुम्हारे पास पर्याप्त पैसे हैं?;کیا آپ کے پاس کافی پیسے ہیں؟;У тебя есть достаточно денег?;هل لديك مال كفاية؟;Wanderlust & Finding Your Way
Do you know how to cook?;¿Sabes cómo cocinar?;Weißt du wie man kocht?;あなたは料理の仕方を知っていますか？;你会做饭吗？;你會做飯嗎？;요리할 줄 아세요?;Você sabe cozinhar?;Savez-vous comment faire cuire?;Tu sai come cucinare?;Weet je hoe je moet koken?;Vet du hur man lagar mat?;Kan du lage mat?;Ved du hvordan man laver mad?;क्या आप को खाना पकाना आता है?;کیا آپ کھانا پکانا جانتے ہیں؟;Вы знаете, как готовить?;هل تعلم كيف تطبخ؟;Wanderlust & Finding Your Way
Do you know what this says?;¿Sabes lo que dice esto?;Weißt du, was das sagt?;これが何を言っているかわかりますか？;你知道这是什么意思吗？;你知道這是什麼意思嗎？;이것이 무엇을 말하는지 아십니까?;Você sabe o que isso diz?;Savez-vous ce que cela dit ?;Sai cosa dice questo?;Weet jij wat dit zegt?;Vet du vad det här säger?;Vet du hva dette sier?;Ved du hvad det siger?;क्या आप जानते हैं कि यह क्या कहता है?;کیا آپ جانتے ہیں کہ یہ کیا کہتا ہے؟;Вы знаете, что это говорит?;هل تعرف ماذا يقول هذا؟;Wanderlust & Finding Your Way
Do you want me to come and pick you up?;¿Quieres que venga a recogerte?;Soll ich kommen und dich abholen?;迎えに行きませんか？;要我来接你吗？;要我來接你嗎？;내가 와서 데리러 갈까요?;Você quer que eu vá buscá-lo?;Voulez-vous que je vienne vous chercher ?;Vuoi che venga a prenderti?;Wil je dat ik je kom ophalen?;Vill du att jag kommer och hämtar dig?;Vil du at jeg skal komme og hente deg?;Skal jeg komme og hente dig?;क्या आप चाहते हैं कि मैं आऊं और आपको लेने आऊं?;کیا آپ چاہتے ہیں کہ میں آکر آپ کو اٹھاؤں؟;Хочешь, я приеду и заберу тебя?;هل تريدني أن آتي وأخذك؟;Wanderlust & Finding Your Way
Follow me.;Sígueme.;Folgen Sie mir.;フォローしてください。;跟我来。;跟我來。;나를 따르라.;Me siga.;Suis-moi.;Seguimi.;Volg mij.;Följ mig.;Følg meg.;Følg mig.;मेरे पीछे आओ।;میرے پیچھے چلو۔;Подписывайтесь на меня.;اتبعني.;Wanderlust & Finding Your Way
From here to there.;De aquí para allá.;Von hier nach da.;ここからそこへ。;从这里到那里。;從這裡到那裡。;여기부터 거기까지.;Daqui para lá.;D'ici à là-bas.;Da qui a lì.;Van hier naar daar.;Härifrån till dit.;Fra her til der.;Herfra til der.;यहां से वहां।;یہاں سے وہاں تک۔;Отсюда туда.;من هنا إلى هناك.;Wanderlust & Finding Your Way
Go straight ahead.;Siga recto.;Gehe gerade aus.;直進してください。;一直往前走。;一直往前走。;직진하세요.;Siga em frente.;Aller tout droit.;Vai dritto.;Ga rechtdoor.;Gå rakt fram.;Gå rett fram.;Gå lige ud.;आगे सीधे बढ़ो।;سیدھے جایئے.;Идите прямо вперед.;اتجه للأمام مباشرة.;Wanderlust & Finding Your Way
Have you arrived?;¿Ya llegaste?;Bist du angekommen?;着きましたか？;你到了吗？;你到了嗎？;도착 했니?;Você chegou?;Es-tu arrivé?;Sei arrivato?;Ben je aangekomen?;Har du kommit fram?;Har du kommet?;Er du ankommet?;क्या तुम पहुंच गए हो?;آپ پہنچ گئے ہیں؟;Вы приехали?;هل وصلت؟;Wanderlust & Finding Your Way
Have you been to Boston?;¿Has estado en Boston?;Warst du schon mal in Boston?;ボストンに行ったことがありますか。;你去过波士顿吗？;你去過波士頓嗎？;보스턴에 가보셨나요?;Você já esteve em Boston?;Avez-vous été à Boston?;Sei stato a Boston?;Ben je in Boston geweest?;Har du varit i Boston?;Har du vært i Boston?;Har du været i Boston?;क्या आप बोस्टन गए हैं?;کیا آپ بوسٹن گئے ہیں؟;Вы были в Бостоне?;هل زرت بوسطن؟;Wanderlust & Finding Your Way
How do I get there?;¿Como llego hasta ahí?;Wie komme ich dort hin?;どうやってそこまで行くの？;我如何到达那里？;我如何到達那裡？;내가 거기 어떻게?;Como eu chego lá?;Comment puis-je y arriver?;Come ci arrivo?;Hoe kom ik daar?;Hur kommer jag dit?;Hvordan kommer jeg meg dit?;Hvordan kommer jeg derhen?;मैं वहां किस प्रकार पहुंचा?;میں وہاں کیسے پہنچوں؟;Как туда попасть?;كيف أصل إلى هناك؟;Wanderlust & Finding Your Way
How do I get to Daniel Street?;¿Cómo llego a la calle Daniel?;Wie komme ich zur Danielstraße?;ダニエル ストリートまではどうやって行けますか ?;如何前往丹尼尔街？;如何前往丹尼爾街？;다니엘 스트리트까지 어떻게 가나요?;Como chego na Rua Daniel?;Comment se rendre à la rue Daniel ?;Come arrivo a Via Daniele?;Hoe kom ik bij Daniëlstraat?;Hur tar jag mig till Daniel Street?;Hvordan kommer jeg meg til Daniel Street?;Hvordan kommer jeg til Daniel Street?;मैं डेनियल स्ट्रीट कैसे पहुँचूँ?;میں ڈینیل اسٹریٹ کیسے جاؤں؟;Как мне добраться до Дэниел Стрит?;كيف أصل إلى شارع دانيال؟;Wanderlust & Finding Your Way
How do I get to the American Embassy?;¿Cómo llego a la Embajada de Estados Unidos?;Wie komme ich zur amerikanischen Botschaft?;アメリカ大使館への行き方を教えてください。;我怎么去美国大使馆？;我怎麼去美國大使館？;미국 대사관에 어떻게 가나요?;Como chego à Embaixada Americana?;Comment se rendre à l'ambassade américaine ?;Come arrivo all'ambasciata americana?;Hoe kom ik bij de Amerikaanse ambassade?;Hur tar jag mig till den amerikanska ambassaden?;Hvordan kommer jeg meg til den amerikanske ambassaden?;Hvordan kommer jeg til den amerikanske ambassade?;मैं अमेरिकी दूतावास कैसे पहुंचूं?;میں امریکن ایمبیسی کیسے جا سکتا ہوں؟;Как пройти в посольство США?;كيف أصل إلى السفارة الأمريكية؟;Wanderlust & Finding Your Way
How long does it take by car?;¿Cuánto tiempo se tarda en coche?;Wie lange dauert es mit dem Auto?;車でどのくらいかかりますか？;坐车需要多长时间？;坐車需要多長時間？;자동차로 얼마나 걸립니까?;Quanto tempo leva de carro?;Combien de temps ça prend en voiture ?;Quanto tempo ci vuole in macchina?;Hoe lang duurt het met de auto?;Hur lång tid tar det med bil?;Hvor lang tid tar det med bil?;Hvor lang tid tager det i bil?;कार द्वारा कितना समय लगता है?;گاڑی سے کتنا وقت لگتا ہے؟;Сколько времени на машине?;كم من الوقت يستغرق بالسيارة؟;Wanderlust & Finding Your Way
